Rk,G,Date,TEAM,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
8,8,43042,TOR,@,UTA,W,105.344,102.97,39.6,87.968,0.449876,9.01,31.87,0.28527,17.134,21.918,0.783632,9.63,41.016,22.542,9.88,5.67,12.944,22.13
8,8,43040,BOS,,SAC,W,101.974,91.856,36.056,81.506,0.442922,10.436,28.382,0.364282,19.426,24.882,0.786312,9.924,46.63,20.502,8.72,5.142,14.104,20.08
8,8,43040,PHI,,ATL,W,113.2777478,110.3512624,41.5306638,89.81261004,0.461770104,13.88094626,32.3489804,0.429179244,16.33547396,23.1185983,0.709553596,11.8167386,50.87046464,29.0640514,7.72403764,5.2390387,18.29134156,25.91964038
8,8,43042,NYK,,PHO,W,104.624,103.43,40.118,88.206,0.45533,8.692,25.096,0.314288,15.696,20.808,0.752878,11.96,47.676,22.876,7.88,4.952,15.634,21.508
8,8,43039,BRK,,PHO,L,110.91,113.814,38.69,89.502,0.431862,12.238,33.56,0.366354,21.292,28.638,0.738276,11.788,45.464,22.352,8.716,4.138,15.452,22.83
8,8,43042,MIA,@,DEN,L,103.266,105.258,39.17,84.384,0.462582,9.938,30.634,0.320844,14.988,18.756,0.80689,7.708,41.912,19.36,7.844,5.042,16.382,22.656
8,8,43042,WAS,,CLE,L,110.32,106.116,39.976,89.796,0.446736,10.962,29.604,0.360914,19.406,25.224,0.755842,10.974,43.174,24.574,9.402,4.506,13.932,21.436
8,8,43040,CHO,,MIL,W,103.96,102.722,38.368,85.988,0.443958,9.094,25.556,0.355446,18.13,27.476,0.651416,10.558,51.244,19.05,4.684,5.548,13.6,18.998
8,8,43040,ORL,@,MEM,W,116.614,105.422,42.756,87.914,0.48859,12.666,29.324,0.428504,18.436,23.474,0.75172,8.016,44.218,25.072,8.886,4.81,13.814,23.244
8,8,43040,ATL,@,PHI,L,97.206,106.228,34.798,84.57,0.41497,9.95,26.59,0.375668,17.66,20.334,0.86914,8.834,41.146,20.866,8.392,2.956,14.638,21.826
8,8,43040,POR,@,UTA,L,104.92,102.462,35.572,86.682,0.409842,10.914,27.544,0.39704,22.862,27.28,0.83353,13.354,48.852,19.07,7,6.14,13.796,22.752
8,8,43042,OKC,,BOS,L,109.492,98.57,41.72,87.856,0.47458,10.704,29.972,0.356966,15.348,20.424,0.740334,11.176,42.922,24.024,9.844,6.842,14.646,22.85
8,8,43040,MIN,,POR,W,93.36,92.13,35.812,78.396,0.456804,9.708,28.694,0.331528,12.028,15.774,0.769068,8.316,41.946,21.06,9.84,6.8,18.992,20.204
8,8,43040,UTA,@,NOP,W,111.54,118.938,40.61,86.182,0.471026,9.16,23.686,0.386826,21.16,26.444,0.793864,10.492,38.804,22.62,7.736,3.826,15.104,18.63
8,8,43040,DEN,,TOR,W,105.856,106.89,40.122,89.694,0.449204,9.356,26.466,0.351398,16.256,21.96,0.733554,11.354,45.776,22.864,7.386,3.548,13.632,19.948
